prog, survey
1180, JADES <br> [D'Eugenio et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024arXiv240406531D)
1181, JADES
1199, GTO [Stiavelli et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023ApJ...957L..18S)
1207, GTO (G. Rieke)
1208, CANUCS <br> [Willott et al. (2022)](https://ui.adsabs.harvard.edu/abs/2022PASP..134b5002W)
1210, JADES
1211, GTO WIDE <br> [Maseda et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024A%26A...689A..73M)
1212, GTO WIDE
1213, GTO WIDE
1214, GTO WIDE
1215, GTO WIDE
1219, GTO QSOs (N. Luetzgendorf)
1222, GTO (C. Willott) <br> [Christensen et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023A%26A...680A..82C/abstract)
1228, GTO (C. Alves de Oliveira) <br> [Luhman et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024ApJ...975..162L/abstract)
1229, GTO (C. Alves de Oliveira) <br> [Luhman et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024AJ....167...19L/abstract)
1286, JADES
1287, JADES
1324, GLASS-ERS <br> [Mascia et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024A%26A...690A...2M/abstract)
1345, CEERS-ERS <br> [Finkelstein et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023ApJ...946L..13F)
1671, [Maseda et al. (2024)](https://ui.adsabs.harvard.edu/abs/2023ApJ...956...11M/abstract)
1433, MACS-J0647 <br> [Hsiao et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024ApJ...973....8H) 
1635, (C. Martin)
1747, BoRG (G. Roberts-Borsani)
1810, Bluejay <br> [Belli et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024Natur.630...54B)
1835, [Wang et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025NatAs...9..710W/abstract)
1869, LyC-22 <br> (D. Schaerer)
1871, [Chisholm et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024MNRAS.534.2633C/abstract)
1879, MARTA <br> [Cataldi et al. 2025](https://ui.adsabs.harvard.edu/abs/2025arXiv250403839C/abstract)
1914, AURORA <br> [Shapley et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024arXiv240700157S)
2028, [Wang et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024ApJ...962L..11W)
2073, (J. Hennawi)
2110, SUSPENSE <br> [Slob et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024ApJ...973..131S)
2198, [Barrufet et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024arXiv240408052B)
2282, [Bradley et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023ApJ...955...13B)
2478, [Topping et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025ApJ...980..225T/abstract)
2561, UNCOVER <br> [Bezanson et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024ApJ...974...92B)
2565, [Nanayakkara et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024arXiv241002076N)
2593, CECILIA <br> [Strom et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023ApJ...958L..11S)
2674, (P. Arrabal Haro)
2640, (W. Best)
2750, [Arrabal Haro et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023Natur.622..707A)
2756, [Mascia et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024A%26A...690A...2M/abstract)
2758, GTO (M. Stiavelli)
2736, SMACS-0723 ERO <br> [Pontoppidan et al. (2022)](https://ui.adsabs.harvard.edu/abs/2022ApJ...936L..14P)
2767, [Williams et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023Sci...380..416W)
2770, (M. McCaughrean) 
3073, [Castellano et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024ApJ...972..143C)
3117, MASQUERADE [Yue et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025arXiv250705381Y/abstract)
3215, JADES Ultra-Deep <br> [Eisenstein et al. (2023)](https://ui.adsabs.harvard.edu/abs/2023arXiv231012340E)
3222, [Scibelli et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025arXiv250804762S/abstract)
3325, ASPIRE <br> (F. Wang)
3503, (A. Adamo)
3543, EXCELS <br> [Carnall et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024MNRAS.534..325C)
3567, DEEPDIVE <br> [Ito et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025arXiv250622642I/abstract)
3788, (D. Weisz)
4106, (E. Nelson)
4212, [Bradley et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024arXiv240410770B/abstract)
4233, RUBIES <br> [de Graaff et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024arXiv240905948D/abstract)
4246, <br> [Abdurro'uf et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024ApJ...973...47A)
4265, [Solimano et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025A%26A...693A..70S/abstract)
4287, [Tang et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025arXiv250506359T/abstract)
4318, (J. Antwi-Danso)
4446, [Frye et al. (2023)](https://ui.adsabs.harvard.edu/abs/arXiv:2309.07326)
4557, (H. Yan)
4750, [Nakajima et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025arXiv250611846N/abstract)
4762, (S. Fujimoto)
5105, NEXUS <br> [Shen et al. (2024)](https://ui.adsabs.harvard.edu/abs/2024arXiv240812713S/abstract)
5224, Mirage or Miracle (R. Naidu & P. Oesch)
6154, (A. de Graaff)
6368, CAPERS (M. Dickinson)
6541, JADES Transient Survey <br> [DeCoursey et al. (2025)](https://ui.adsabs.harvard.edu/abs/2025ApJ...979..250D/abstract)
6585, (D. Coulter)
6642, (J. Muzerolle Page)
9223, (S. Fujimoto)